variant,symbol,direction,entry_ts,entry_price,exit_ts,exit_price,pnl_pct,bars_held,exit_reason,break_state_at_entry,vah_at_entry,val_at_entry,poc_distance_atr_at_entry
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-10-06 12:17:00+00:00,62069.0,2024-10-06 12:24:00+00:00,62119.8,-0.0018184439897533924,7,hard_stop,-1,62092.125,61791.73333333334,4.536131860993676
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-10-06 12:35:00+00:00,62084.0,2024-10-06 12:37:00+00:00,62104.3,-0.0013269763546163152,2,breakout_resume_up,-1,62092.125,61791.73333333334,6.985543478260693
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-10-06 19:43:00+00:00,62714.8,2024-10-06 19:49:00+00:00,62667.9,-0.0002521701416571256,6,take_profit,-1,62889.9,61984.35,0.020420576990021793
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-10-07 00:27:00+00:00,62734.1,2024-10-07 00:35:00+00:00,62844.2,-0.0027550263732164506,8,hard_stop,-1,62879.52916666667,62167.46666666667,0.32086559734502007
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-10-07 07:22:00+00:00,63490.0,2024-10-07 07:24:00+00:00,63506.4,-0.0012583083950229437,2,breakout_resume_up,-1,63495.104166666664,61890.0,33.933953900709426
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-10-07 07:29:00+00:00,63493.6,2024-10-07 07:30:00+00:00,63513.7,-0.0013165673390703727,1,breakout_resume_up,-1,63495.104166666664,61890.0,35.57953944585496
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-10-07 07:56:00+00:00,63488.8,2024-10-07 07:58:00+00:00,63500.0,-0.0011764090674261088,2,breakout_resume_up,-1,63495.104166666664,61890.0,26.662211990752628
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-10-07 08:48:00+00:00,63496.2,2024-10-07 08:49:00+00:00,63510.1,-0.0012189107379655386,1,breakout_resume_up,-1,63507.604166666664,61950.0,21.5907773981793
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-10-07 09:00:00+00:00,63491.2,2024-10-07 09:03:00+00:00,63445.3,-0.00027706516808634254,3,take_profit,-1,63507.666666666664,61950.3,26.804906639872588
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-10-07 13:56:00+00:00,63414.1,2024-10-07 14:04:00+00:00,63589.6,-0.0037675233110617814,8,hard_stop,-1,63551.354166666664,62526.145833333336,7.132363038450374
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-10-07 15:05:00+00:00,63760.1,2024-10-07 15:15:00+00:00,63633.0,0.0009934096715656935,10,take_profit,-1,63833.774999999994,62613.61666666667,12.037380401234635
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-10-11 12:44:00+00:00,61167.1,2024-10-11 12:52:00+00:00,61295.8,-0.0031040722872263107,8,hard_stop,-1,61399.9,59845.025,8.484394124847029
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-10-11 17:50:00+00:00,62694.6,2024-10-11 17:53:00+00:00,62779.0,-0.002346208445384578,3,breakout_resume_up,-1,62770.3,60037.40833333333,6.863342729621775
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-10-11 22:35:00+00:00,62513.3,2024-10-11 22:39:00+00:00,62361.9,0.0014218846229522306,4,take_profit,-1,63253.3375,61042.737499999996,6.713953205958763
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-10-12 11:34:00+00:00,63084.6,2024-10-12 11:36:00+00:00,62988.1,0.0005296918740865806,2,take_profit,-1,63295.9625,61958.4375,10.751375305623414
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-10-12 14:12:00+00:00,63082.0,2024-10-12 14:13:00+00:00,63110.0,-0.001443866713166985,1,breakout_resume_up,-1,63096.85,62212.9,17.390555378740494
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-10-12 14:21:00+00:00,63082.3,2024-10-12 14:23:00+00:00,63116.7,-0.0015453193685074354,2,breakout_resume_up,-1,63096.85,62212.9,12.119486923759139
