symbol,direction,entry_signal_date,entry_fill_date,entry_price,exit_signal_date,exit_fill_date,exit_price,reason,pnl_usd,pnl_pct,bars_held,macro_proximity_at_entry,poc_distance_atr_at_entry,size_units,nav_at_entry
BTCUSDT,short,2025-01-02 08:00:00,2025-01-02 08:00:00,96715.4,2025-01-03 16:00:00,2025-01-03 16:00:00,98545.5,hard_stop,-201.2253,-0.020123,8,-48,0.4941,1.0,100000.0
BTCUSDT,long,2025-01-05 08:00:00,2025-01-05 08:00:00,97609.5,2025-01-06 12:00:00,2025-01-06 12:00:00,102104.5,take_profit,448.5085,0.044851,7,-30,0.4143,1.0,100000.0
BTCUSDT,short,2025-01-07 20:00:00,2025-01-07 20:00:00,96920.3,2025-01-10 00:00:00,2025-01-10 00:00:00,93654.9,macro_regime_off,324.916,0.032492,13,-18,0.2581,1.0,100000.0
BTCUSDT,short,2025-01-13 20:00:00,2025-01-13 20:00:00,94485.3,2025-01-14 00:00:00,2025-01-14 00:00:00,94821.2,macro_regime_off,-47.5505,-0.004755,1,-12,0.0054,1.0,100000.0
BTCUSDT,short,2025-01-27 20:00:00,2025-01-27 20:00:00,102021.3,2025-01-28 00:00:00,2025-01-28 00:00:00,102582.7,macro_regime_off,-67.0277,-0.006703,1,-12,0.9028,1.0,100000.0
BTCUSDT,long,2025-01-30 20:00:00,2025-01-30 20:00:00,104676.9,2025-01-31 00:00:00,2025-01-31 00:00:00,104286.7,macro_regime_off,-49.2766,-0.004928,1,6,0.7952,1.0,100000.0
BTCUSDT,short,2025-02-01 12:00:00,2025-02-01 12:00:00,102031.5,2025-02-03 00:00:00,2025-02-03 00:00:00,94001.6,take_profit,775.0021,0.0775,9,6,0.0498,1.0,100000.0
BTCUSDT,short,2025-02-19 12:00:00,2025-02-19 12:00:00,95895.4,2025-02-20 16:00:00,2025-02-20 16:00:00,98370.0,hard_stop,-270.052,-0.027005,7,42,0.0003,1.0,100000.0
BTCUSDT,short,2025-02-23 12:00:00,2025-02-23 12:00:00,95391.5,2025-02-24 20:00:00,2025-02-24 20:00:00,91514.5,take_profit,394.4303,0.039443,8,-30,0.3559,1.0,100000.0
BTCUSDT,short,2025-03-02 20:00:00,2025-03-02 20:00:00,94222.8,2025-03-03 16:00:00,2025-03-03 16:00:00,85552.0,take_profit,908.2444,0.090824,5,12,0.9476,1.0,100000.0
