pair,direction,entry_ts,entry_price_a,entry_price_b,exit_ts,exit_price_a,exit_price_b,pnl_pct,bars_held,z_at_entry,z_at_exit,slope15m_at_entry,trend2h_at_entry,exit_reason,gross_pct
BTCUSDT/SOLUSDT,long_a_short_b,2024-12-07T22:03:00,100007.7,243.59,2024-12-07T22:09:00,99936.0,241.37,0.007596729821933846,7,-2.94847899569876,0.11559740618800708,,0,z_mean_revert,0.008396729821933846
BTCUSDT/SOLUSDT,short_a_long_b,2024-12-07T23:15:00,99921.2,239.17,2024-12-08T00:55:00,99972.0,239.64,0.0006567287861737554,101,2.1053630281586377,0.4955233144046985,,0,z_mean_revert,0.0014567287861737555
BTCUSDT/SOLUSDT,long_a_short_b,2024-12-08T03:00:00,100253.8,241.63,2024-12-08T04:25:00,99900.0,240.18,0.0016718671948350535,86,-2.3702989442221947,-0.4776021847887826,,0,z_mean_revert,0.0024718671948350535
BTCUSDT/SOLUSDT,short_a_long_b,2024-12-08T05:32:00,99744.0,238.0,2024-12-08T07:26:00,99861.6,238.78,0.0012982926375554545,115,2.0866220030971663,0.18321850576036977,,0,z_mean_revert,0.0020982926375554545
BTCUSDT/SOLUSDT,short_a_long_b,2024-12-08T10:16:00,99394.8,234.73,2024-12-08T11:25:00,99500.0,236.03,0.0036798725516528305,70,2.1017560386120593,0.15360914515169513,,0,z_mean_revert,0.00447987255165283
BTCUSDT/SOLUSDT,long_a_short_b,2024-12-08T16:00:00,100040.1,237.62,2024-12-08T16:23:00,100004.9,236.82,0.0022148610684869182,24,-2.4691922584210864,-0.4454310455885863,,0,z_mean_revert,0.003014861068486918
BTCUSDT/SOLUSDT,short_a_long_b,2024-12-09T00:00:00,101300.0,237.5,2024-12-09T01:07:00,99875.0,234.72,0.001561864186626428,68,2.833062233124992,0.4971970585688288,,0,z_mean_revert,0.002361864186626428
BTCUSDT/SOLUSDT,short_a_long_b,2024-12-09T02:15:00,99719.2,232.47,2024-12-09T03:05:00,99337.9,232.44,0.0028946881441100033,51,2.103240522800562,0.3943017682472703,,0,z_mean_revert,0.0036946881441100032
BTCUSDT/SOLUSDT,short_a_long_b,2024-12-09T07:30:00,98869.3,229.7,2024-12-09T07:49:00,99675.4,232.45,0.003018949472922384,20,2.0143677833470486,0.1834932548049211,,0,z_mean_revert,0.003818949472922384
BTCUSDT/SOLUSDT,short_a_long_b,2024-12-09T08:05:00,99571.1,230.94,2024-12-09T08:26:00,99537.5,230.03,-0.00440297011291999,22,2.1280395085561152,2.9039597202142624,,0,adverse_stop,-0.0036029701129199902
BTCUSDT/SOLUSDT,short_a_long_b,2024-12-09T09:00:00,99014.2,227.08,2024-12-09T10:01:00,98567.8,227.64,0.00617453548872684,62,2.642987785367476,0.4614481870291045,,0,z_mean_revert,0.006974535488726841
BTCUSDT/SOLUSDT,short_a_long_b,2024-12-09T16:17:00,98222.7,224.98,2024-12-09T16:53:00,98144.6,225.97,0.004395523024763004,37,2.1850734422104874,0.3623147214585365,,0,z_mean_revert,0.005195523024763005
BTCUSDT/SOLUSDT,long_a_short_b,2024-12-09T20:16:00,97123.8,223.66,2024-12-09T20:25:00,96746.6,221.74,0.0039007554855298395,10,-2.253288093514213,0.478756210019926,,0,z_mean_revert,0.0047007554855298395
