date,equal,risk_parity,correlation_off
2024-01-10,115135.25450671418,103330.32235207869,103274.21876936831
2024-01-11,115086.20851383718,103320.1167994873,103261.13392234118
2024-01-12,114864.7267008439,103069.75047486741,103022.15683497547
2024-01-13,114779.18186788683,103054.26430312268,103006.92853003142
2024-01-14,114856.03699062587,103083.71686789235,103035.00944110617
2024-01-15,115238.10915382882,103070.33934002218,103020.4058815452
2024-01-16,115404.46737511465,103098.84685668573,103048.14885961766
2024-01-17,114973.86713948405,103001.99685030032,102953.57275701262
2024-01-18,114907.74309244596,102998.06363790785,102948.93304283092
2024-01-19,114726.89457204391,103003.73712561588,102953.19882924232
2024-01-20,114681.99213153019,102984.28506307105,102933.61658795396
2024-01-21,114779.56833599396,103013.35951146143,102961.81608823768
2024-01-22,114921.53010595623,103021.25149124894,102970.18581842954
2024-01-23,113710.28289362777,102746.09593534785,102701.54052207101
2024-01-24,113582.78722933859,102712.66277609838,102668.31897193145
2024-01-25,114272.78529781415,102819.25913354388,102773.80343070888
2024-01-26,114628.6721409447,102895.15067354799,102848.04645149244
2024-01-27,114574.07500740763,102867.28840221056,102821.26307160326
2024-01-28,114655.35107438103,102881.18044532395,102834.9523788362
2024-01-29,114626.78625178276,102879.889482202,102832.89422640724
2024-01-30,114537.22019133704,102848.10303478826,102802.16962755962
2024-01-31,114385.3544142365,102731.29628132256,102686.04354366763
2024-02-01,114497.95393077462,102770.04462891581,102723.51971796258
2024-02-02,114233.6738932729,102692.0179762932,102645.45512267656
2024-02-03,114252.74574235089,102689.2727155748,102642.96784281981
2024-02-04,114587.02631811521,102744.84867379659,102696.73705617625
2024-02-05,115212.73794911413,102859.09866894012,102808.04369244556
2024-02-06,114918.61998274813,102803.08790193661,102753.07136837262
2024-02-07,114558.61154474576,102730.50819692553,102681.96225346897
2024-02-08,114760.98912272866,102764.87642508825,102715.83465848313
2024-02-09,114796.27813413797,102759.16873788576,102710.63553488645
2024-02-10,114666.74250143862,102757.57930622525,102708.32653598073
2024-02-11,114614.01347096902,102763.29942576426,102713.4293988095
2024-02-12,114683.62344669561,102853.01279571687,102803.12381234133
2024-02-13,114906.31702929987,102888.66482894965,102838.34016651516
2024-02-14,114903.02131127205,102883.98375310868,102833.7266879829
2024-02-15,114905.18252234574,102842.20623538614,102794.08874846251
2024-02-16,114576.86121548917,102809.02457581804,102760.56667421147
2024-02-17,114709.5006984628,102834.85440657267,102785.90392864928
2024-02-18,114561.03503966672,102792.44447164642,102743.46549552133
2024-02-19,114694.20350548103,102773.49154629339,102726.30177881394
2024-02-20,114437.48109150771,102691.43716902316,102644.4675382272
2024-02-21,114804.77710506172,102765.53440479492,102717.07113536855
2024-02-22,114678.51251836427,102695.36671605018,102648.42269532377
2024-02-23,114763.54774046881,102723.13467762987,102675.3039408995
2024-02-24,115305.50676969605,102818.31528670105,102768.31638622901
2024-02-25,115541.32249293814,102859.39366820944,102808.75576284055
2024-02-26,115480.65859151461,102813.4722055581,102764.33282192054
2024-02-27,115454.0762562529,102802.75414626299,102753.99676777243
2024-02-28,115362.99241585104,102731.17302598634,102685.49786218659
2024-02-29,115461.8426526263,102757.8296891326,102710.50117071856
2024-03-01,115520.9319583894,102769.10643481447,102720.70775422426
2024-03-02,115554.53726847823,102782.64560519594,102733.76446295726
2024-03-03,115668.35133126765,102828.49260972555,102777.9775272372
2024-03-04,115552.0255941025,102781.65906958889,102732.81379488928
2024-03-05,115918.08184337274,102902.326162398,102847.75234247021
2024-03-06,116108.71574980317,102900.17635388214,102845.13892713193
2024-03-07,116338.23537818191,102946.07549278969,102890.10412720894
2024-03-08,116437.14176206365,102985.7118648854,102928.32529465639
2024-03-09,116650.62505423653,103077.35820671328,103019.95998732916
2024-03-10,116909.17919076898,103139.39466082494,103080.41215089386
2024-03-11,116684.56207484257,103105.37022560491,103046.75425452055
2024-03-12,116749.51436315253,103240.77983421196,103183.15800536529
2024-03-13,116910.40386054778,103312.0101407887,103252.20639354624
2024-03-14,116925.54619294695,103340.81741943181,103281.1965983853
2024-03-15,116894.06708508183,103271.89171419448,103214.26753422331
2024-03-16,118361.85771125118,103542.34514759488,103479.18619491889
2024-03-17,119089.19873533916,103656.52433660833,103590.20089276352
2024-03-18,119148.16788609544,103609.51805619239,103545.94795881731
2024-03-19,118615.4862211926,103601.53454934622,103535.17456340839
2024-03-20,118593.28940025606,103498.91671473434,103434.22061849752
2024-03-21,118894.24529708535,103536.05423412111,103471.27607478228
2024-03-22,119634.05357414608,103707.41366337883,103638.33863098676
2024-03-23,119613.79333040827,103705.45271954492,103636.35660194285
2024-03-24,119500.3619917733,103694.00377324001,103624.8135144838
2024-03-25,119350.44295671831,103669.70239835096,103600.85521267087
2024-03-26,119134.54064085796,103626.4238649226,103556.50791994839
2024-03-27,119079.67517897685,103575.8140502685,103507.1793110725
2024-03-28,118801.11475106428,103535.18573068903,103466.9531922727
2024-03-29,118565.01528519878,103501.6919830913,103433.74937419157
2024-03-30,118776.57059163602,103528.74845368478,103460.61265642304
2024-03-31,118830.1689503457,103495.12116345688,103429.02464377253
2024-04-01,118551.53657717964,103372.89161324657,103310.51344370419
2024-04-02,118672.17063654441,103409.77672214845,103346.24333372826
2024-04-03,118707.21284396488,103362.98857182906,103298.54418948176
2024-04-04,117770.37047544436,103109.77420737193,103050.51604330902
2024-04-05,117762.72831186958,103145.79087718799,103084.65055337359
2024-04-06,118394.58665193387,103236.13145832364,103174.20433476503
2024-04-07,118660.63821276929,103288.13696454074,103224.16754632314
2024-04-08,118874.56813233072,103316.73061527354,103252.58767600374
2024-04-09,118648.80285967678,103389.66937516951,103326.38509452203
2024-04-10,118303.45124500508,103312.14499479641,103250.73822420523
2024-04-11,118763.21927207972,103294.1650834138,103230.75917526668
2024-04-12,118687.53153926753,103280.61997375921,103217.45067915288
2024-04-13,118447.52838899587,103168.72899909921,103109.82585536221
2024-04-14,117865.67725121466,103092.89092919018,103034.35529270058
2024-04-15,117096.08717868594,102941.95725766222,102886.46832887187
2024-04-16,117425.55572810241,102999.65535648621,102943.22648359714
2024-04-17,116917.30613594208,102904.89714417722,102850.21898566654
2024-04-18,117323.8349851421,103069.60704539878,103014.44504318284
2024-04-19,118002.52246521406,103234.17371271757,103174.74455509645
2024-04-20,117383.02955282587,103130.06146710324,103072.1987771791
2024-04-21,117651.83563156775,103170.66181088479,103112.09750282035
2024-04-22,117671.95434775601,103148.28555932143,103090.98352316786
2024-04-23,117456.7302198226,103085.85789548041,103029.16347931852
2024-04-24,117953.92508833345,103165.61132501074,103107.86531320904
2024-04-25,118107.67830364009,103214.59897661835,103155.2847027319
2024-04-26,117569.27055875426,103113.70876665898,103055.19690829546
2024-04-27,116443.0674029691,102806.48062318056,102756.24933380182
2024-04-28,116260.68842193071,102771.12001509013,102721.29333701929
2024-04-29,116353.46134716162,102751.48891706689,102702.13382807666
2024-04-30,116119.87806215866,102681.76001911944,102634.5292262193
2024-05-01,115155.19020804968,102497.3245276068,102453.58663023554
2024-05-02,114957.09082357767,102479.55498054183,102435.50316262362
2024-05-03,115768.17773538051,102613.62602472263,102566.89455589416
2024-05-04,116172.21659673196,102687.0575894216,102639.06344839867
2024-05-05,116826.98526288134,102771.7790285025,102723.47006574893
2024-05-06,116476.95243783877,102724.29721949316,102676.70199524466
2024-05-07,116515.02247221865,102679.21334858432,102631.04221387635
2024-05-08,116930.85071029297,102729.63760768017,102681.43076091431
2024-05-09,116697.46353955717,102702.20379718288,102653.97723043028
2024-05-10,117149.46723453235,102791.7544858562,102741.71797723838
2024-05-11,117527.13430814492,102849.32139208802,102798.31015206076
2024-05-12,117448.67299435189,102819.39160901774,102769.21380256991
2024-05-13,117399.90649399567,102835.25149589987,102783.97182142982
2024-05-14,117588.74159209593,102861.10327613328,102809.64945351523
2024-05-15,117588.11470082357,102850.82982207777,102799.89518456359
2024-05-16,117123.17047987336,102741.12856901583,102692.10635702999
2024-05-17,117611.31302198183,102828.49840623836,102777.32469961676
2024-05-18,117416.020089362,102801.68044796921,102750.69319721663
2024-05-19,117336.3935540807,102841.39111422493,102792.7582271523
2024-05-20,118797.7095046947,103269.27761290554,103207.71570106846
2024-05-21,119363.1670553216,103379.05324918106,103315.28597041564
2024-05-22,119911.38680526294,103470.06011437083,103403.98437957832
2024-05-23,120647.11613770698,103673.43315124957,103601.35970001674
2024-05-24,120798.51205700629,103710.26183294461,103637.20466510764
2024-05-25,121584.61121016741,103838.74610994292,103763.78133056322
2024-05-26,121423.46741178962,103770.68950912674,103696.86965904053
2024-05-27,121346.79622717177,103734.12883731892,103660.97994914206
2024-05-28,121149.30301804778,103701.9879378056,103629.31626981602
2024-05-29,121423.88667566415,103783.66639070508,103708.4434544161
2024-05-30,121435.42263435776,103796.1440592818,103720.35133362218
2024-05-31,121457.33129933514,103776.83207212729,103702.15587725467
2024-06-01,121422.2945497575,103769.83909648792,103695.31373260256
2024-06-02,121609.14039861046,103848.4055567559,103770.96653468607
2024-06-03,121600.88122176145,103809.8542509085,103734.33799620182
2024-06-04,121673.58189633147,103824.70774820587,103748.86049607603
2024-06-05,122062.20644943991,103886.04931854279,103809.35463960459
2024-06-06,122221.4669405139,103911.56438146721,103833.8511577112
2024-06-07,121944.40814059615,103906.3291195783,103827.25803176331
2024-06-08,121915.95067982233,103919.073895565,103839.18354069763
2024-06-09,122164.1101191758,103968.13282641182,103887.19237280541
2024-06-10,121996.97575537622,103956.6429022146,103875.13427279044
2024-06-11,122098.26111995352,103987.41752235376,103904.92962075457
