,equal,risk_parity,correlation_off
2025-10-10,103644.8813792866,100656.59033000853,100649.85451638204
2025-10-11,103737.18823092901,100665.65380970089,100658.96573930873
2025-10-12,103571.79789742788,100685.4637697167,100678.26388305356
2025-10-13,103492.54751135955,100682.315202736,100675.21647950924
2025-10-14,103393.20815614084,100679.67393324203,100672.60749297206
2025-10-15,103492.96759667977,100685.44159041267,100678.35970845232
2025-10-16,103644.2789218738,100694.4838122543,100687.34704855431
2025-10-17,103681.71958383004,100692.74260092159,100685.50436101988
2025-10-18,103697.01074292224,100688.55075623642,100681.3424914632
2025-10-19,103691.04842740482,100691.85173812935,100684.72172354734
2025-10-20,103488.30116104879,100674.16303843496,100667.05156214967
2025-10-21,103710.34924534237,100678.25839407348,100671.14008605877
2025-10-22,103759.55364837621,100680.40729508772,100673.25831122133
2025-10-23,103612.93266083363,100673.44854153093,100666.37358598344
2025-10-24,103686.52270896937,100677.42986782429,100670.3249953843
2025-10-25,103751.78590183367,100681.28361691486,100674.15903721166
2025-10-26,103711.50697776659,100679.41573551136,100672.24726139859
2025-10-27,103610.7138541784,100689.59255053944,100682.4613517821
2025-10-28,103433.91247586544,100679.71487390033,100672.66152338086
2025-10-29,103286.35507167647,100670.97131281986,100663.96243841528
2025-10-30,103166.78792110636,100663.3783311881,100656.39510838948
2025-10-31,103305.18501206838,100666.46595465354,100659.47624359117
2025-11-01,103350.32602697893,100669.01915245106,100662.01321324566
2025-11-02,103293.85209588251,100665.33013649216,100658.33410782392
2025-11-03,103056.94998087682,100652.2388887333,100645.33451034421
2025-11-04,102788.1550165935,100632.21296242326,100625.30520031563
2025-11-05,102971.90285877153,100645.29501078818,100638.37615624988
2025-11-06,103130.9260723119,100656.11129672236,100649.17266933859
2025-11-07,102971.51614731702,100643.44873818602,100636.55637208313
2025-11-08,102831.5262106932,100635.50699828629,100628.66510242985
2025-11-09,103018.77556371673,100659.54175429858,100652.69443026406
2025-11-10,103174.02821128661,100668.97182343615,100662.08163125842
2025-11-11,103283.69441726644,100682.51281027208,100675.74066260754
2025-11-12,103411.87691826194,100689.28171726251,100682.45335951766
