,equity
2023-12-22,3.188640496053668e-30
2023-12-23,2.6176923057745458e-30
2023-12-24,2.37439351379883e-30
2023-12-25,1.904702919693436e-30
2023-12-26,1.6597486706122202e-30
2023-12-27,1.4808295756141366e-30
2023-12-28,1.4484340254485619e-30
2023-12-29,1.4484340254485619e-30
2023-12-30,1.2573636306933224e-30
2023-12-31,1.1184310509615333e-30
2024-01-01,1.0162618470538968e-30
2024-01-02,9.317537164242416e-31
2024-01-03,8.55297452289374e-31
2024-01-04,7.759206690395027e-31
2024-01-05,6.966314889223186e-31
2024-01-06,6.045521082073599e-31
2024-01-07,5.288043400481884e-31
2024-01-08,4.846074760420968e-31
2024-01-09,4.205132495625151e-31
2024-01-10,3.685869732536838e-31
2024-01-11,3.3259353175308252e-31
2024-01-12,2.8745240764223334e-31
2024-01-13,2.536542253195978e-31
2024-01-14,2.2997411734686637e-31
2024-01-15,2.231194883180933e-31
2024-01-16,1.8198937458398213e-31
2024-01-17,1.5427264244395036e-31
2024-01-18,1.3822237171524512e-31
2024-01-19,1.228158445797325e-31
2024-01-20,1.0904807705739035e-31
2024-01-21,9.785859386286131e-32
2024-01-22,8.517365208599959e-32
2024-01-23,7.172944542605801e-32
2024-01-24,6.784710940296548e-32
2024-01-25,6.662662187812978e-32
2024-01-26,5.911923468124673e-32
2024-01-27,5.258347228444727e-32
2024-01-28,4.684743809038364e-32
2024-01-29,4.30094030868385e-32
2024-01-30,3.955199013491916e-32
2024-01-31,3.461544487529636e-32
2024-02-01,3.1816048121002243e-32
2024-02-02,2.7449060650697303e-32
2024-02-03,2.526220738677603e-32
2024-02-04,2.3395403550359656e-32
2024-02-05,2.1621857784728002e-32
2024-02-06,1.8383926811854573e-32
2024-02-07,1.541001908480379e-32
2024-02-08,1.3717488185400646e-32
2024-02-09,1.1680153330707858e-32
2024-02-10,1.0828519881973735e-32
2024-02-11,9.843239819967402e-33
2024-02-12,8.865531847380392e-33
2024-02-13,7.779694955602106e-33
2024-02-14,6.88870664584054e-33
2024-02-15,5.710087124120369e-33
2024-02-16,5.026856614073187e-33
2024-02-17,4.5101592309259536e-33
2024-02-18,3.812311672082234e-33
2024-02-19,3.468148831864677e-33
2024-02-20,3.021191915442175e-33
2024-02-21,2.4827815291691578e-33
2024-02-22,2.359729590848235e-33
2024-02-23,1.9791085873040426e-33
2024-02-24,1.9155339115627804e-33
2024-02-25,1.8242483015033406e-33
2024-02-26,1.629501787864023e-33
2024-02-27,1.629501787864023e-33
