variant,symbol,direction,entry_ts,entry_price,exit_ts,exit_price,pnl_pct,bars_held,exit_reason,poc_dist_at_entry,funding_z_at_entry
vpvr_funding_reset_window_1h_20260715,BTCUSDT,short,2022-12-01T09:00:00,17111.700000,2022-12-01T14:00:00,17104.270000,-0.000766,6,time_stop,2.807,-2.444
vpvr_funding_reset_window_1h_20260715,BTCUSDT,long,2022-12-01T17:00:00,16967.670000,2022-12-01T22:00:00,16965.240000,-0.001343,6,time_stop,-1.318,2.112
vpvr_funding_reset_window_1h_20260715,BTCUSDT,long,2022-12-02T01:00:00,16925.790000,2022-12-02T06:00:00,16910.530000,-0.002102,6,time_stop,-1.746,1.257
vpvr_funding_reset_window_1h_20260715,BTCUSDT,short,2022-12-02T23:00:00,17092.740000,2022-12-03T04:00:00,17015.450000,0.003322,6,time_stop,1.481,-1.638
vpvr_funding_reset_window_1h_20260715,BTCUSDT,long,2022-12-03T23:00:00,16885.200000,2022-12-04T04:00:00,17007.700000,0.006055,6,tp_atr,-1.422,1.244
vpvr_funding_reset_window_1h_20260715,BTCUSDT,short,2022-12-05T09:00:00,17303.760000,2022-12-05T14:00:00,17206.820000,0.004402,6,time_stop,4.040,-1.829
vpvr_funding_reset_window_1h_20260715,BTCUSDT,short,2022-12-12T19:00:00,17043.220000,2022-12-12T20:00:00,17123.190000,-0.005892,2,sl_atr,1.919,-1.752
vpvr_funding_reset_window_1h_20260715,BTCUSDT,long,2022-12-15T01:00:00,17631.600000,2022-12-15T06:00:00,17718.950000,0.003754,6,time_stop,-1.241,1.330
vpvr_funding_reset_window_1h_20260715,BTCUSDT,short,2022-12-20T15:00:00,16918.830000,2022-12-20T20:00:00,16859.300000,0.002319,6,time_stop,1.704,-1.251
vpvr_funding_reset_window_1h_20260715,BTCUSDT,long,2022-12-22T15:00:00,16636.540000,2022-12-22T20:00:00,16781.420000,0.007509,6,time_stop,-3.236,1.358
vpvr_funding_reset_window_1h_20260715,BTCUSDT,long,2022-12-28T09:00:00,16659.000000,2022-12-28T14:00:00,16739.010000,0.003603,6,time_stop,-3.614,2.095
vpvr_funding_reset_window_1h_20260715,BTCUSDT,long,2022-12-29T01:00:00,16548.530000,2022-12-29T06:00:00,16564.490000,-0.000236,6,time_stop,-1.698,1.882
vpvr_funding_reset_window_1h_20260715,BTCUSDT,short,2023-01-01T20:00:00,16604.510000,2023-01-02T01:00:00,16565.040000,0.001177,6,time_stop,1.236,-3.166
vpvr_funding_reset_window_1h_20260715,BTCUSDT,short,2023-01-02T03:00:00,16661.940000,2023-01-02T07:00:00,16721.280000,-0.004761,5,sl_atr,3.021,-2.979
vpvr_funding_reset_window_1h_20260715,BTCUSDT,short,2023-01-02T11:00:00,16735.110000,2023-01-02T16:00:00,16710.880000,0.000248,6,time_stop,3.290,-2.626
vpvr_funding_reset_window_1h_20260715,BTCUSDT,short,2023-01-07T01:00:00,16950.020000,2023-01-07T06:00:00,16933.290000,-0.000213,6,time_stop,2.028,-1.794
vpvr_funding_reset_window_1h_20260715,BTCUSDT,short,2023-01-07T09:00:00,16928.510000,2023-01-07T14:00:00,16937.920000,-0.001756,6,time_stop,2.374,-2.442
vpvr_funding_reset_window_1h_20260715,BTCUSDT,short,2023-01-09T08:00:00,17191.680000,2023-01-09T10:00:00,17264.500000,-0.005436,3,sl_atr,4.909,-2.535
vpvr_funding_reset_window_1h_20260715,BTCUSDT,short,2023-01-09T12:00:00,17249.060000,2023-01-09T16:00:00,17327.840000,-0.005767,5,sl_atr,6.349,-2.206
vpvr_funding_reset_window_1h_20260715,BTCUSDT,short,2023-01-09T20:00:00,17221.290000,2023-01-10T01:00:00,17194.390000,0.000362,6,time_stop,4.265,-1.354
vpvr_funding_reset_window_1h_20260715,BTCUSDT,short,2023-01-11T19:00:00,17550.290000,2023-01-11T23:00:00,17943.260000,-0.023591,5,sl_atr,2.102,-1.337
vpvr_funding_reset_window_1h_20260715,BTCUSDT,short,2023-02-11T21:00:00,21823.560000,2023-02-12T02:00:00,21816.220000,-0.000864,6,time_stop,1.931,-2.447
vpvr_funding_reset_window_1h_20260715,BTCUSDT,short,2023-02-12T05:00:00,21799.980000,2023-02-12T09:00:00,21907.000000,-0.006109,5,sl_atr,1.428,-1.808
vpvr_funding_reset_window_1h_20260715,BTCUSDT,short,2023-02-12T17:00:00,21988.250000,2023-02-12T21:00:00,21738.380000,0.010164,5,tp_atr,3.427,-3.073
vpvr_funding_reset_window_1h_20260715,BTCUSDT,short,2023-02-15T01:00:00,22109.620000,2023-02-15T06:00:00,22117.680000,-0.001565,6,time_stop,2.651,-1.595
vpvr_funding_reset_window_1h_20260715,BTCUSDT,short,2023-02-15T09:00:00,22170.510000,2023-02-15T11:00:00,22445.130000,-0.013587,3,sl_atr,3.977,-1.254
vpvr_funding_reset_window_1h_20260715,BTCUSDT,long,2023-02-16T23:00:00,23517.720000,2023-02-17T04:00:00,23805.150000,0.011022,6,time_stop,-3.416,2.831
vpvr_funding_reset_window_1h_20260715,BTCUSDT,short,2023-03-01T04:00:00,23794.480000,2023-03-01T09:00:00,23756.140000,0.000411,6,time_stop,2.210,-1.280
