strategy_key,status,graveyard_family,path,entry_files,uses_shared,cost_model,gate_logic,feature_category,feature_stems,n_defs
mtf_vpvr_edge_zscore_1m_15m_2h_20260718,ACTIVE,,strategies/mtf_vpvr_edge_zscore_1m_15m_2h_20260718,strategies/mtf_vpvr_edge_zscore_1m_15m_2h_20260718/run_backtest.py;strategies/mtf_vpvr_edge_zscore_1m_15m_2h_20260718/strategy.py,False,none_visible,none,evaluation,strategy,18
mtf_vpvr_edge_zscore_1m_15m_2h_20260718,ACTIVE,,strategies/mtf_vpvr_edge_zscore_1m_15m_2h_20260718,strategies/mtf_vpvr_edge_zscore_1m_15m_2h_20260718/run_backtest.py;strategies/mtf_vpvr_edge_zscore_1m_15m_2h_20260718/strategy.py,False,none_visible,none,other,data_loader;run_backtest;strategy,18
mtf_xs_pairs_1m_15m_2h_h1_20260718,ACTIVE,,strategies/mtf_xs_pairs_1m_15m_2h_h1_20260718,strategies/mtf_xs_pairs_1m_15m_2h_h1_20260718/run_backtest.py;strategies/mtf_xs_pairs_1m_15m_2h_h1_20260718/strategy.py,False,none_visible,none,signal,data_loader;test_h1_strategy_20260718,14
mtf_xs_pairs_1m_15m_2h_h1_20260718,ACTIVE,,strategies/mtf_xs_pairs_1m_15m_2h_h1_20260718,strategies/mtf_xs_pairs_1m_15m_2h_h1_20260718/run_backtest.py;strategies/mtf_xs_pairs_1m_15m_2h_h1_20260718/strategy.py,False,none_visible,none,risk/sizing,,14
mtf_xs_pairs_1m_15m_2h_h1_20260718,ACTIVE,,strategies/mtf_xs_pairs_1m_15m_2h_h1_20260718,strategies/mtf_xs_pairs_1m_15m_2h_h1_20260718/run_backtest.py;strategies/mtf_xs_pairs_1m_15m_2h_h1_20260718/strategy.py,False,none_visible,none,execution,test_h1_strategy_20260718,14
mtf_xs_pairs_1m_15m_2h_h1_20260718,ACTIVE,,strategies/mtf_xs_pairs_1m_15m_2h_h1_20260718,strategies/mtf_xs_pairs_1m_15m_2h_h1_20260718/run_backtest.py;strategies/mtf_xs_pairs_1m_15m_2h_h1_20260718/strategy.py,False,none_visible,none,cost,,14
mtf_xs_pairs_1m_15m_2h_h1_20260718,ACTIVE,,strategies/mtf_xs_pairs_1m_15m_2h_h1_20260718,strategies/mtf_xs_pairs_1m_15m_2h_h1_20260718/run_backtest.py;strategies/mtf_xs_pairs_1m_15m_2h_h1_20260718/strategy.py,False,none_visible,none,evaluation,,14
mtf_xs_pairs_1m_15m_2h_h1_20260718,ACTIVE,,strategies/mtf_xs_pairs_1m_15m_2h_h1_20260718,strategies/mtf_xs_pairs_1m_15m_2h_h1_20260718/run_backtest.py;strategies/mtf_xs_pairs_1m_15m_2h_h1_20260718/strategy.py,False,none_visible,none,other,data_loader;run_backtest;test_h1_strategy_20260718;walk_forward,14
mtf_xs_pairs_1m_15m_2h_h2_20260718,ACTIVE,,strategies/mtf_xs_pairs_1m_15m_2h_h2_20260718,strategies/mtf_xs_pairs_1m_15m_2h_h2_20260718/run_backtest.py;strategies/mtf_xs_pairs_1m_15m_2h_h2_20260718/strategy.py,False,none_visible,none,signal,data_loader,5
mtf_xs_pairs_1m_15m_2h_h2_20260718,ACTIVE,,strategies/mtf_xs_pairs_1m_15m_2h_h2_20260718,strategies/mtf_xs_pairs_1m_15m_2h_h2_20260718/run_backtest.py;strategies/mtf_xs_pairs_1m_15m_2h_h2_20260718/strategy.py,False,none_visible,none,risk/sizing,,5
mtf_xs_pairs_1m_15m_2h_h2_20260718,ACTIVE,,strategies/mtf_xs_pairs_1m_15m_2h_h2_20260718,strategies/mtf_xs_pairs_1m_15m_2h_h2_20260718/run_backtest.py;strategies/mtf_xs_pairs_1m_15m_2h_h2_20260718/strategy.py,False,none_visible,none,execution,,5
mtf_xs_pairs_1m_15m_2h_h2_20260718,ACTIVE,,strategies/mtf_xs_pairs_1m_15m_2h_h2_20260718,strategies/mtf_xs_pairs_1m_15m_2h_h2_20260718/run_backtest.py;strategies/mtf_xs_pairs_1m_15m_2h_h2_20260718/strategy.py,False,none_visible,none,cost,,5
mtf_xs_pairs_1m_15m_2h_h2_20260718,ACTIVE,,strategies/mtf_xs_pairs_1m_15m_2h_h2_20260718,strategies/mtf_xs_pairs_1m_15m_2h_h2_20260718/run_backtest.py;strategies/mtf_xs_pairs_1m_15m_2h_h2_20260718/strategy.py,False,none_visible,none,evaluation,,5
mtf_xs_pairs_1m_15m_2h_h2_20260718,ACTIVE,,strategies/mtf_xs_pairs_1m_15m_2h_h2_20260718,strategies/mtf_xs_pairs_1m_15m_2h_h2_20260718/run_backtest.py;strategies/mtf_xs_pairs_1m_15m_2h_h2_20260718/strategy.py,False,none_visible,none,other,data_loader;run_backtest;walk_forward,5
mtf_xs_pairs_1m_15m_2h_h3_20260718,ACTIVE,,strategies/mtf_xs_pairs_1m_15m_2h_h3_20260718,strategies/mtf_xs_pairs_1m_15m_2h_h3_20260718/strategy.py,False,none_visible,manual,signal,data_loader;sizing_sweep,29
mtf_xs_pairs_1m_15m_2h_h3_20260718,ACTIVE,,strategies/mtf_xs_pairs_1m_15m_2h_h3_20260718,strategies/mtf_xs_pairs_1m_15m_2h_h3_20260718/strategy.py,False,none_visible,manual,risk/sizing,sizing_sweep,29
mtf_xs_pairs_1m_15m_2h_h3_20260718,ACTIVE,,strategies/mtf_xs_pairs_1m_15m_2h_h3_20260718,strategies/mtf_xs_pairs_1m_15m_2h_h3_20260718/strategy.py,False,none_visible,manual,execution,,29
mtf_xs_pairs_1m_15m_2h_h3_20260718,ACTIVE,,strategies/mtf_xs_pairs_1m_15m_2h_h3_20260718,strategies/mtf_xs_pairs_1m_15m_2h_h3_20260718/strategy.py,False,none_visible,manual,cost,framework_validate,29
