symbol,tf,er,fast,slow,lb,t,ann_ret,n_bars,n_rt
ETH,1h,10,3,30,3,1.4648936252827802,1.825536240396275e-05,58360,1866
ETH,1h,10,3,30,5,2.296076205017985,3.742418993457619e-05,58360,1472
ETH,1h,10,3,30,10,2.3042074457914707,3.787532217858214e-05,58360,1122
ETH,1h,10,3,50,1,0.5161094802724872,-3.584655744126586e-06,58360,2916
ETH,1h,10,3,50,3,1.3354766281638928,1.528857878363432e-05,58360,1791
ETH,1h,10,3,50,5,2.1296816028140992,3.353973208053418e-05,58360,1426
ETH,1h,10,3,50,10,2.4112471566172293,4.03290776671561e-05,58360,1076
ETH,1h,15,2,20,1,0.12286105251432294,-1.3133994024250306e-05,58360,3900
ETH,1h,15,2,20,3,1.6752785114009474,2.3149934576638387e-05,58360,2242
ETH,1h,15,2,20,5,2.6789711560859497,4.655531867880924e-05,58360,1695
ETH,1h,15,2,20,10,2.992459179646818,5.424550546018203e-05,58360,1199
ETH,1h,15,2,30,1,0.08877509180594997,-1.3887508375942659e-05,58360,3676
ETH,1h,15,2,30,3,1.7731396310372343,2.5449974793145813e-05,58360,2125
ETH,1h,15,2,30,5,2.663256995443364,4.616097224596771e-05,58360,1616
ETH,1h,15,2,30,10,3.123518749447326,5.7305199119950245e-05,58360,1153
ETH,1h,15,2,50,1,0.359561289641383,-7.522259547587673e-06,58360,3457
ETH,1h,15,2,50,3,1.5608355255495843,2.052335819979767e-05,58360,2034
ETH,1h,15,2,50,5,2.67037044601186,4.632439406715427e-05,58360,1550
ETH,1h,15,2,50,10,2.703813040298064,4.743015971886422e-05,58360,1129
ETH,1h,15,3,20,1,0.7727374212901575,2.2894529592143442e-06,58360,3017
ETH,1h,15,3,20,3,1.8665066157813897,2.7507392646342055e-05,58360,1751
ETH,1h,15,3,20,5,2.0537848495875686,3.197066021254358e-05,58360,1368
ETH,1h,15,3,20,10,2.5409359098675877,4.3447016731867905e-05,58360,980
ETH,1h,15,3,30,1,0.9176353015748919,5.666194689668558e-06,58360,2722
ETH,1h,15,3,30,3,1.74701135776442,2.4727618016084918e-05,58360,1598
ETH,1h,15,3,30,5,1.8945867219760828,2.820554126303776e-05,58360,1257
ETH,1h,15,3,30,10,2.4380243398174724,4.105780045282614e-05,58360,917
ETH,1h,15,3,50,1,1.3318588233793947,1.5211521923852445e-05,58360,2474
ETH,1h,15,3,50,3,1.765154419303043,2.514704483935759e-05,58360,1507
ETH,1h,15,3,50,5,1.868650256327787,2.7572525379104817e-05,58360,1194
ETH,1h,15,3,50,10,2.539541920360574,4.326185286429585e-05,58360,867
ETH,1h,20,2,20,1,0.5253255292288314,-3.6730698304010545e-06,58360,3545
ETH,1h,20,2,20,3,1.612343102519871,2.1729361239009037e-05,58360,2032
ETH,1h,20,2,20,5,1.6581245676419392,2.2810571586928674e-05,58360,1576
ETH,1h,20,2,20,10,1.8257424305471186,2.6809664564142466e-05,58360,1105
ETH,1h,20,2,30,1,0.3286274164139702,-8.241190999846992e-06,58360,3303
ETH,1h,20,2,30,3,1.3228927975141769,1.5004149021891067e-05,58360,1891
ETH,1h,20,2,30,5,1.5051405234696293,1.924777008710521e-05,58360,1500
ETH,1h,20,2,30,10,1.8640165561104882,2.770959013598251e-05,58360,1051
ETH,1h,20,2,50,1,0.5691471836603312,-2.582190716249322e-06,58360,3071
ETH,1h,20,2,50,3,1.256215678504861,1.34586631599376e-05,58360,1804
ETH,1h,20,2,50,5,1.465213067249578,1.8315539220825627e-05,58360,1401
ETH,1h,20,2,50,10,1.6217693368417887,2.200094935855823e-05,58360,1002
ETH,1h,20,3,20,1,1.1451858994599287,1.0885902165913564e-05,58360,2749
ETH,1h,20,3,20,3,1.4590676251551693,1.81411853785729e-05,58360,1611
ETH,1h,20,3,20,5,1.8337816096256578,2.6874100047979965e-05,58360,1251
ETH,1h,20,3,20,10,1.8810751946085655,2.808378100316311e-05,58360,907
ETH,1h,20,3,30,1,0.9163697699254725,5.610456897953142e-06,58360,2484
ETH,1h,20,3,30,3,1.5380263129127298,1.9944720643927383e-05,58360,1459
ETH,1h,20,3,30,5,1.902321186442208,2.8400058082578283e-05,58360,1146
ETH,1h,20,3,30,10,2.0798990126391756,3.264053884022289e-05,58360,819
ETH,1h,20,3,50,1,1.1893687772431836,1.1924573019905793e-05,58360,2202
ETH,1h,20,3,50,3,1.8851767974581932,2.794746653744795e-05,58360,1337
ETH,1h,20,3,50,5,1.9444454892004117,2.928216149022944e-05,58360,1064
ETH,1h,20,3,50,10,2.1431118373803915,3.398092484308002e-05,58360,774
ETH,4h,5,2,20,1,1.5870730141835356,8.442269351904841e-05,14590,1445
ETH,4h,5,2,20,3,2.0365911809360226,0.00012618928040231125,14590,869
ETH,4h,5,2,20,5,1.691906301202349,9.431814540339367e-05,14590,720
ETH,4h,5,2,20,10,2.8664204744304786,0.00020377879245958574,14590,460
ETH,4h,5,2,30,1,1.3178283257858088,5.96524799321152e-05,14590,1417
ETH,4h,5,2,30,3,1.8225059715306142,0.0001063814783819339,14590,861
ETH,4h,5,2,30,5,1.708091479241586,9.576824431190012e-05,14590,716
ETH,4h,5,2,30,10,2.902917766420698,0.0002073315892010541,14590,448
ETH,4h,5,2,50,1,1.2809910056617686,5.6278780830698594e-05,14590,1389
ETH,4h,5,2,50,3,1.790798335988505,0.0001034404659221444,14590,851
ETH,4h,5,2,50,5,1.8977418588931059,0.00011329967443995947,14590,710
ETH,4h,5,2,50,10,3.056175480578557,0.0002218668790512357,14590,442
ETH,4h,5,3,20,1,1.8222726078236153,0.00010568844432867763,14590,1007
ETH,4h,5,3,20,3,2.4109465109956467,0.00016042345301059413,14590,632
ETH,4h,5,3,20,5,2.531029459158536,0.00017191928444693083,14590,520
ETH,4h,5,3,20,10,2.624196029714134,0.00018044764238855926,14590,343
ETH,4h,5,3,30,1,1.6964831198522312,9.417764603636414e-05,14590,977
ETH,4h,5,3,30,3,2.5626669594312887,0.00017456063819865086,14590,612
ETH,4h,5,3,30,5,2.2997291363602486,0.00015049386041532387,14590,507
ETH,4h,5,3,30,10,2.5676956404033233,0.00017506531729449826,14590,344
ETH,4h,5,3,50,1,1.8532507471802766,0.00010847346467790508,14590,949
ETH,4h,5,3,50,3,2.639950247725499,0.00018137120327321732,14590,598
ETH,4h,5,3,50,5,2.318579797962464,0.00015203987344158953,14590,498
ETH,4h,5,3,50,10,2.5752500658364936,0.00017588400608969934,14590,338
ETH,4h,10,2,20,1,1.00124251479842,3.084675342979182e-05,14590,1098
ETH,4h,10,2,20,3,1.969064448882087,0.00011947282845103935,14590,648
ETH,4h,10,2,20,5,2.0264335355288687,0.00012441558416309562,14590,513
ETH,4h,10,2,20,10,2.5261780557526543,0.00017164525671242714,14590,375
ETH,4h,10,2,30,1,0.8196627230301412,1.4428723856818593e-05,14590,1050
ETH,4h,10,2,30,3,1.9850234346037996,0.00012063654031391202,14590,629
ETH,4h,10,2,30,5,2.139320197453754,0.0001344434461374444,14590,498
ETH,4h,10,2,30,10,2.277394067494003,0.00014841660520437117,14590,371
ETH,4h,10,2,50,1,1.0231267684131231,3.2850573063125665e-05,14590,993
ETH,4h,10,2,50,3,2.029925057254581,0.00012471341051845108,14590,614
ETH,4h,10,2,50,5,2.4529529154281353,0.00016291293154946374,14590,490
ETH,4h,10,2,50,10,2.1408327078629252,0.0001358151061121582,14590,367
ETH,4h,10,3,20,1,1.4564349953473215,7.220492563719816e-05,14590,809
ETH,4h,10,3,20,3,2.124174059632981,0.0001336030631908791,14590,477
ETH,4h,10,3,20,5,2.33703757641849,0.00015299765023590872,14590,399
ETH,4h,10,3,20,10,2.269665212425822,0.00014728742721681343,14590,302
ETH,4h,10,3,30,1,1.5845563821299897,8.37626664205171e-05,14590,766
ETH,4h,10,3,30,3,1.977549207325637,0.00012019693842058032,14590,459
ETH,4h,10,3,30,5,2.37741958283492,0.0001568898652017925,14590,377
ETH,4h,10,3,30,10,2.0882753079883702,0.0001306841095771727,14590,287
ETH,4h,10,3,50,1,1.8033190024511874,0.000103566900884422,14590,722
ETH,4h,10,3,50,3,2.120549817317279,0.00013333446247720815,14590,446
ETH,4h,10,3,50,5,2.2341821980792567,0.00014371238410282317,14590,368
ETH,4h,10,3,50,10,2.3513304945479687,0.0001548287136783344,14590,275
