symbol,tf,er,fast,slow,lb,year,t,mean
SOL,4h,20,2,20,10,2022,-0.5692978760149469,-0.00017930650426346213
SOL,4h,20,2,20,10,2023,2.675613596090228,0.0009556907116645003
SOL,4h,20,2,20,10,2024,0.6446498591825784,0.00017804984311240135
SOL,4h,20,2,20,10,2025,0.4740461595677069,0.00011642774768672207
SOL,4h,20,2,20,10,2026,-0.6416120209311401,-0.00017104307561994963
SOL,4h,20,2,20,10,20242026,0.49816845350511574,7.75625427165628e-05
SOL,4h,15,2,30,10,2020,-0.661878570028777,-0.0005740149434631368
SOL,4h,15,2,30,10,2021,3.013782699624216,0.001961853022486178
SOL,4h,15,2,30,10,2022,-0.6888186008751122,-0.00020901832039867658
SOL,4h,15,2,30,10,2023,3.240725919959475,0.0011616126328900145
SOL,4h,15,2,30,10,2024,0.7299842190396036,0.0002015285693056339
SOL,4h,15,2,30,10,2025,0.3578633291772917,8.891316731639591e-05
SOL,4h,15,2,30,10,2026,-0.8602275570133606,-0.00022716522920970667
SOL,4h,15,2,30,10,20242026,0.4080858164239033,6.37221051798682e-05
SOL,4h,20,3,20,10,2020,-0.755174429960563,-0.000640102493325505
SOL,4h,20,3,20,10,2021,3.136096341959855,0.0020947370394867803
SOL,4h,20,3,20,10,2022,-0.8706105371511863,-0.0002479503844742327
SOL,4h,20,3,20,10,2023,2.882366257588419,0.0010674287872360399
SOL,4h,20,3,20,10,2024,0.8163549582213929,0.0002228369234475459
SOL,4h,20,3,20,10,2025,0.2438377751634033,6.0584059132449935e-05
SOL,4h,20,3,20,10,2026,-0.6111463829507304,-0.00015663947683622757
SOL,4h,20,3,20,10,20242026,0.4942552057278525,7.645342180952921e-05
SOL,4h,5,3,50,10,2020,-0.9121353434266071,-0.0007409432239355678
SOL,4h,5,3,50,10,2021,3.040398733098483,0.001983492336666076
SOL,4h,5,3,50,10,2022,-0.834255033449351,-0.0002480540844821125
SOL,4h,5,3,50,10,2023,2.7985237588095795,0.0010424482870075719
SOL,4h,5,3,50,10,2024,1.2311918949298712,0.0003370455890164145
SOL,4h,5,3,50,10,2025,0.1616885057621838,4.214723614316437e-05
SOL,4h,5,3,50,10,2026,-0.6158503415360654,-0.00015352847424734178
SOL,4h,5,3,50,10,20242026,0.7281567436900267,0.00011460372815337347
SOL,1d,10,2,50,3,2020,-0.5791987786624403,-0.0021062809628778606
SOL,1d,10,2,50,3,2021,3.5605048996676447,0.013348731115130862
SOL,1d,10,2,50,3,2022,-1.0508105063016968,-0.0015079467188265857
SOL,1d,10,2,50,3,2023,2.6182384426110086,0.00619377592959171
SOL,1d,10,2,50,3,2024,0.45068092665197934,0.0006968763743111788
SOL,1d,10,2,50,3,2025,0.14053952893023813,0.00018858479812665344
SOL,1d,10,2,50,3,2026,-0.440318016198185,-0.0005456972325438114
SOL,1d,10,2,50,3,20242026,0.2684603235981349,0.0002265195209857251
SOL,1d,20,2,20,10,2020,0.022158025483419014,6.837935920606315e-05
SOL,1d,20,2,20,10,2021,3.485866132925985,0.013402201118830066
SOL,1d,20,2,20,10,2022,-1.4742622343253171,-0.0029087439561194662
SOL,1d,20,2,20,10,2023,2.653894228715223,0.005996220601246567
SOL,1d,20,2,20,10,2024,1.7360847376619797,0.0027866519772458925
SOL,1d,20,2,20,10,2025,-0.14819762571813688,-0.00018699421310705742
