variant,symbol,direction,entry_ts,entry_price,exit_ts,exit_price,pnl_pct,bars_held,exit_reason,kama_turn_at_entry,poc_distance_atr_at_entry
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,long,2025-05-09 21:25:00+00:00,171.64,2025-05-09 21:31:00+00:00,172.22,0.0023791656956421168,6,take_profit,1,0.23776371308025543
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,short,2025-05-09 21:49:00+00:00,171.77,2025-05-09 21:50:00+00:00,172.11,-0.002979391046166512,1,hard_stop,-1,0.3262345679012443
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,short,2025-05-10 00:38:00+00:00,172.11,2025-05-10 00:46:00+00:00,171.36,0.003357678229039541,8,take_profit,-1,0.41418835192075476
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,short,2025-05-10 02:58:00+00:00,172.03,2025-05-10 03:04:00+00:00,171.67,0.0010926582572807772,6,take_profit,-1,0.4542349726776669
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,long,2025-05-10 03:11:00+00:00,171.85,2025-05-10 03:21:00+00:00,171.67,-0.0020474250800116547,10,hard_stop,1,0.5646666666666434
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,short,2025-05-10 06:10:00+00:00,171.82,2025-05-10 06:18:00+00:00,172.2,-0.003211616808287742,8,hard_stop,-1,0.40856031128397685
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,long,2025-05-10 07:19:00+00:00,171.88,2025-05-10 07:23:00+00:00,171.59,-0.002687223644402991,4,hard_stop,1,0.03660593792177382
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,long,2025-05-10 08:54:00+00:00,171.72,2025-05-10 08:57:00+00:00,171.28,-0.0035623107384113997,3,hard_stop,1,0.516722099039195
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,long,2025-05-10 09:46:00+00:00,171.66,2025-05-10 10:01:00+00:00,171.2,-0.0036797157171152275,15,hard_stop,1,0.5759493670885829
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,short,2025-05-10 10:17:00+00:00,171.74,2025-05-10 10:27:00+00:00,171.38,0.0010961919180156885,10,take_profit,-1,0.13085585585595133
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,long,2025-05-10 10:50:00+00:00,171.6,2025-05-10 10:53:00+00:00,171.29,-0.0028065268065268203,3,hard_stop,1,0.05354267310793809
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,long,2025-05-10 13:03:00+00:00,171.39,2025-05-10 13:16:00+00:00,170.99,-0.003333858451484816,13,hard_stop,1,0.43217761557182177
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,long,2025-05-10 13:27:00+00:00,171.46,2025-05-10 13:30:00+00:00,171.2,-0.002516388662078705,3,hard_stop,1,0.08436639118449671
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,long,2025-05-10 13:46:00+00:00,171.38,2025-05-10 13:52:00+00:00,171.83,0.001625743960789073,6,take_profit,1,0.5426912568305909
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,long,2025-05-10 14:45:00+00:00,171.6,2025-05-10 14:50:00+00:00,171.28,-0.0028648018648018683,5,hard_stop,1,0.08850574712649592
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,long,2025-05-10 15:03:00+00:00,171.7,2025-05-10 15:05:00+00:00,171.45,-0.0024560279557367384,2,hard_stop,1,0.17768199233723672
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,long,2025-05-10 16:16:00+00:00,171.75,2025-05-10 16:18:00+00:00,171.48,-0.0025720524017467375,2,hard_stop,1,0.12426035502958963
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,short,2025-05-10 16:41:00+00:00,171.84,2025-05-10 16:51:00+00:00,171.5,0.0009785847299813586,10,take_profit,-1,0.2968197879858786
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,short,2025-05-10 17:56:00+00:00,172.02,2025-05-10 18:04:00+00:00,172.36,-0.0029765143587955336,8,hard_stop,-1,0.5329922894425159
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,short,2025-05-10 18:21:00+00:00,171.93,2025-05-10 18:24:00+00:00,171.59,0.0009775490025010223,3,take_profit,-1,0.5963631156930979
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,long,2025-05-10 18:30:00+00:00,171.73,2025-05-10 18:32:00+00:00,171.48,-0.0024557735980900155,2,hard_stop,1,0.36333902161548387
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,long,2025-05-11 13:04:00+00:00,174.36,2025-05-11 13:07:00+00:00,174.17,-0.0020896994723561537,3,hard_stop,1,0.5277237354084688
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,long,2025-05-11 23:43:00+00:00,172.69,2025-05-11 23:57:00+00:00,172.97,0.0006214025131739973,14,take_profit,1,0.26453488372099976
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,short,2025-05-12 01:48:00+00:00,172.66,2025-05-12 01:51:00+00:00,173.07,-0.0033746090582648094,3,hard_stop,-1,0.5636534025374947
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,long,2025-05-12 03:09:00+00:00,173.44,2025-05-12 03:10:00+00:00,173.14,-0.0027297047970480373,1,hard_stop,1,0.5631127450980782
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,long,2025-05-12 05:58:00+00:00,174.35,2025-05-12 06:04:00+00:00,174.93,0.0023266418124462404,6,take_profit,1,0.1894904458598261
